source,target
129671,445522
129671,415986
129671,529415
129671,150772
129671,107895
129671,529408
129671,450090
129671,415996
129671,420403
129671,568149
129671,205125
129671,420402
129671,213693
129671,532081
129671,1058141
129671,205119
129671,233382
129671,478613
129694,182806
130243,519204
131772,140262
402249,230625
406632,441219
220094,394663
221222,62520
349699,87595
349699,255894
349699,570058
350202,91379
350202,262218
350202,418419
350202,114328
350202,204947
353861,221538
355271,441720
355271,457706
355271,527713
355659,406303
123371,118735
123871,520043
123871,552577
124056,532131
124056,128908
3264,3256
3333,3256
3538,158504
3538,503723
3538,215186
3538,475476
115093,479976
115093,479977
337076,82010
337076,147915
337076,135113
337076,202021
337076,474489
16117,91877
29835,406945
31331,572763
31767,443691
34586,51872
34586,446142
34586,450087
34586,450089
34586,525212
34586,525241
34586,265800
34586,241669
34586,179520
34586,540703
34586,122081
34586,1050574
34586,411861
34586,131097
34586,406918
34586,478608
34586,175461
34586,211134
34586,2451
34586,106416
34586,573775
34586,580534
34586,461506
34586,211140
34586,412820
34586,1058077
34586,1069625
34586,211142
34586,1001089
34586,179332
34586,168891
34586,478607
34586,217017
34586,178918
34586,580533
34586,1071285
34586,1002318
34586,141072
34586,388182
34586,241677
34586,179516
440034,1052953
88166,410641
51547,1055574
51547,1055573
51547,1055575
53930,404643
1053361,482774
1053361,1053362
441988,412348
209166,208589
211069,500201
5797,244326
5797,521258
6328,402177
7175,438110
8011,90602
9711,475504
9711,475510
9711,475513
10162,51776
10426,424616
10761,103972
11316,43562
11563,200625
12062,1084917
12310,153062
12310,18048
111416,556996
114184,209224
114519,566473
116139,565718
116559,454996
117605,394096
118511,56040
118511,56044
118511,454595
118511,454733
118511,446142
118511,450091
118511,451441
118511,529407
118511,1058419
118511,577948
118511,211984
118511,201313
118511,1063535
118511,569698
118511,571802
118511,573895
118511,540124
118511,563449
118511,486839
118511,214668
118511,3316
118511,1050847
118511,478609
118511,1066537
118511,1066536
118511,56051
118511,1042460
118511,1043517
118511,1062150
118511,1066529
118511,1062151
118511,1051186
118511,1077453
118511,1065839
118511,1062152
118879,547105
119523,19372
119523,7841
119523,9658
119523,572763
119523,1055206
119523,1055205
213357,196735
213880,1040414
214004,99703
214678,62684
214891,43658
215584,568806
216151,395688
339784,458261
339784,157700
339784,178634
339784,227851
339784,432155
340621,505448
341901,165321
100376,401672
101726,559180
102387,23553
103370,399445
103370,397296
103370,500725
103370,500727
103370,1053447
103736,433064
103759,183531
104752,525219
104752,178862
104752,128611
104752,1054933
104752,1005973
104752,433077
104752,1081309
104752,551852
104752,1042631
104752,409871
104752,432028
104752,505216
104752,432036
104752,432037
104752,432644
104752,433076
104752,432648
104752,432650
104752,525217
301367,518592
301367,151484
32,128611
32,1005973
32,399012
32,433077
106,179916
227,481826
620,1043757
670,135886
2071,56040
2071,451441
2071,1051971
2071,577948
2071,201313
2071,1076966
2497,481741
2497,525218
2497,178328
2497,179916
2497,545615
2497,417638
2497,417639
2497,115572
2497,477132
2497,179717
2497,179718
2497,178327
2497,528454
2497,108959
2497,1073011
2497,160051
2497,1043084
2497,1043094
2497,1043079
2497,1043078
2497,1043089
2497,1043090
2497,1043091
2497,1043092
2497,1043093
2497,1043096
2497,1043097
2497,1063531
2497,1043327
2497,1043324
2497,1043304
2497,1043325
2497,1043306
2497,1043302
2497,1043307
2497,1043323
2497,1043326
2497,205728
2497,206120
2497,1079998
2497,1043095
2497,1043080
2546,111636
200716,389515
200803,396848
201712,455390
203646,558319
203831,527389
203831,178328
203831,545615
203831,417638
203831,477132
203831,206120
205177,405996
129,397350
402,418480
402,418481
402,418482
402,418483
402,418484
638,442703
638,442705
638,442707
638,442711
638,442713
567071,567073
145345,394823
145345,189298
145345,1053792
493883,40026
493883,167698
493883,551224
493883,526000
493883,525840
20409,543198
20409,567353
20439,105886
21137,559338
22135,453061
23105,107920
23641,391784
23855,468798
24083,247197
25761,405994
25826,8099
26734,495933
27263,194238
27275,64111
27369,27374
27369,474321
27379,76392
120233,431777
120233,431778
121390,74792
108764,32678
315224,62353
315737,114748
317902,214609
318732,71336
321776,109563
329591,121648
331950,460137
331950,149923
331950,137232
331950,219631
331950,35134
331950,573122
570421,555998
570421,570399
576162,576163
576232,576233
577269,161771
577269,505632
1002115,545777
1002156,1002157
1002749,345303
1003467,1003470
1003467,1003469
1003467,1003468
1003481,1003543
1004624,1029258
1040230,1040294
1041063,512716
1041066,89424
1041066,174323
1041066,129521
510317,247896
510317,508146
538471,12642
263556,476451
82342,415998
82342,156851
148445,192745
450223,494275
540321,61500
540321,419683
540321,419775
540421,29549
540421,211665
540560,256717
540575,49700
199030,462343
467192,129314
580830,581040
91520,455119
442678,442679
83767,1087236
83767,39708
83767,38387
83767,403738
1043043,1043044
1043043,1043045
1043043,1043047
1043043,1043046
1043137,1043143
1043137,1043138
1043137,1043139
1043137,1043142
1043137,1043140
1043137,1043141
63463,51787
562950,416200
563937,100321
564175,564179
564607,129862
566250,462344
566780,206905
566780,136806
566937,566940
567361,567365
472286,61461
473827,438691
473827,465942
473827,160745
473827,474225
474559,474560
475356,435687
476503,476505
427993,149551
432541,148802
2579,1003464
308156,469547
308156,467566
308156,202689
308156,86037
742,404322
742,1043757
447527,496219
545335,477756
219585,97584
100270,233874
545379,546880
470571,469796
31416,153648
484641,502964
545455,514741
545455,476480
2175,537415
2175,537416
2175,537417
2175,537418
2175,537419
1002494,1002495
208865,126588
555390,561161
461034,461282
44429,1043757
572233,389545
572233,547182
572233,388245
572233,519380
572233,390918
572233,549933
572233,555255
572233,547192
572233,538575
572233,394460
572233,393648
572233,395319
204886,422915
1005016,1005017
1005016,1005018
1005016,1005019
1004769,1004770
1004846,1004847
1005042,1005043
1004874,1004875
1004874,1004877
1004874,1004876
1004865,1056790
1004865,406986
1005063,1059159
1004695,1051377
1004841,1004842
42893,494601
1077103,1068000
