source,target
210122,101004
210122,1075295
210122,253228
210157,470327
210335,139215
210605,143364
210605,222271
210605,13159
210605,31834
4831,51697
4831,469428
5823,51606
5823,247535
5823,494413
5823,234441
5823,22314
5823,109413
5981,197470
5981,45202
5981,15986
5981,12062
5981,119523
5981,21150
6157,80258
6351,1004453
6351,33686
7655,73893
7655,90485
7655,156445
7655,123518
7655,47500
7655,209872
7655,549463
10235,435517
10411,466148
10411,110657
10411,567250
11410,102946
111088,191627
111088,6718
111141,51926
111141,546631
111141,29500
112034,213880
116276,1044196
117312,71945
117312,245609
117312,245613
117312,439783
117312,470520
117312,458138
117312,444628
117312,527957
117312,265927
117312,165661
117312,188881
117312,506069
117312,506563
117312,122137
117312,410333
117312,131772
117312,220215
117312,5168
117312,5918
117312,8016
117312,203646
117312,549867
118333,535399
212168,11461
215011,154445
338399,414337
338399,537910
339551,156813
341078,162330
342132,569387
101249,416554
102330,268292
103938,464243
103938,51188
103938,35542
300418,46799
300937,164408
301043,38468
301062,41804
301062,212951
301071,42641
301071,123560
301071,11173
301366,238512
301366,122210
301488,98177
301768,134207
302173,94142
302173,91171
302173,425924
302173,207070
302173,29947
302173,1069069
302243,485455
302243,444289
302243,449691
302243,413999
302243,230768
302243,204711
302243,569408
302709,229993
302940,167061
302940,1073155
302940,1073146
302940,1073145
302940,24486
302940,733
302940,1849
302940,151875
302940,135748
302940,615
302940,728
302990,72696
302990,72697
302990,63635
302990,246985
302990,543910
302990,565302
303618,265465
305593,494821
305593,242001
305593,176456
305593,176458
305593,178742
305593,17713
305593,11520
305593,20439
305593,22184
305593,333256
305593,540190
305593,540421
1782,129302
1782,650
1782,722
1956,256678
1956,561325
1956,93780
105240,530985
105240,531573
105240,536410
105240,409403
105240,410807
201980,578836
202127,104405
204224,227288
309899,232566
310073,74532
310073,195259
310349,42465
106535,123961
57219,64806
1064033,114226
146075,3264
146075,483818
547555,229393
243497,578169
1063921,1063923
59900,109492
59900,46979
179626,497184
166300,546623
21076,15079
21398,46979
21398,30989
21398,55467
22500,268393
22500,90211
22500,564602
24844,86430
26864,110548
27489,165027
121317,98031
121317,171898
121317,79863
108841,6137
317141,65672
317141,184823
317414,66205
317414,66206
317576,472792
321060,82778
321060,64110
323495,425867
329497,194500
332150,566250
332466,134025
333257,566780
13463,471799
13463,188239
13463,178250
13463,506253
13463,110410
13609,72097
13609,130943
13616,234356
569427,91720
569427,446537
569427,446624
569427,442646
569427,197282
569427,537318
569427,497287
569427,38178
569818,569819
570827,1042027
571165,571166
571165,1008321
571878,513889
571878,501396
571878,562244
571878,562733
571878,567082
572701,572702
573142,573145
573815,488067
573815,492596
573815,128389
573815,121390
574694,99703
574694,53878
574694,245484
574694,263803
574694,493302
574694,442791
574694,188439
574694,190432
574694,534594
574694,127269
574694,127794
574694,579354
574694,579398
574694,226376
574694,12310
574694,214004
574694,102397
577216,57411
577216,478730
577216,48948
577216,565804
577232,220376
577232,114581
577232,475799
577351,88520
577351,424327
577351,453502
577351,502397
577351,475442
577357,399349
577357,494764
577357,555179
577357,534437
577357,577688
577357,116139
577357,331950
577357,571236
577357,575379
577360,476677
1001644,45948
1003312,244747
1003312,146700
1003312,431799
1003494,1003498
1003494,1003496
1003494,1003495
1003494,1003497
1003563,48879
1003563,112853
1004049,265504
1004053,160812
1004053,209209
1005582,233675
1006593,1006594
1006633,89277
1039601,154353
1040854,1040856
1042809,1042810
552481,1061595
552481,592
552481,650
523844,523845
182805,446163
435046,200128
435046,89460
435046,1021945
255408,303530
565197,565198
522495,522486
245599,245712
254924,348986
254924,2621
254924,91661
1051350,37391
1051350,10162
539271,175325
540089,513745
540089,516918
540089,266802
540089,134142
540319,190255
540351,136423
540377,500630
540520,456890
540520,549932
540579,234409
86695,266828
546543,50459
1008455,1003089
1008455,1008456
243339,561306
471294,157303
50836,190160
568036,533477
563277,563279
565739,246686
565739,37006
565739,225589
565739,477148
565758,234448
566227,57805
566227,511031
566228,458058
566242,238709
566242,37159
566247,188753
566247,409182
566247,6221
566247,7720
566254,433409
566352,257099
566372,470518
566372,456718
566439,518507
566440,109124
566477,192537
566477,100046
566505,566509
566565,188932
566662,184030
566717,480281
566717,226631
566778,130174
566869,108837
567430,167555
474382,474383
430013,180017
430999,86282
1020676,157854
549754,417422
549850,28104
549850,29594
549850,431800
551890,551891
1008123,1008124
548775,1068379
58350,121852
520339,561671
545410,262802
545410,526631
545410,529449
147895,66184
102961,219585
102961,100270
102961,172872
545375,418761
545375,39660
83910,10726
83910,545379
451621,545335
520765,231975
520765,526194
520765,107926
520765,548218
520765,548219
520765,203735
548238,57081
493799,161325
493799,71113
360147,503716
360147,412324
360147,503259
360147,503106
1059761,1007883
520526,520525
348552,208865
87097,447443
