source,target
50860,173850
50860,146179
50860,182259
50860,497650
50860,506812
50860,508037
50860,547943
50860,106847
50860,107320
50860,127644
50860,495547
50860,230566
50860,130478
50860,19593
50860,20052
50860,1052798
50860,118750
50860,106492
50860,202103
50866,501665
50897,66588
50897,60672
51173,529806
51173,561233
51173,122903
51173,412196
51173,118850
51214,494720
51214,220815
51214,220981
51214,119565
51214,567423
51214,431806
51335,74079
51335,464998
51335,455387
51335,455388
51335,520942
51335,417782
92448,54664
92448,224904
92448,225013
92448,510298
92448,214739
92448,431866
92461,463616
92461,564204
92733,48062
92851,524045
92874,59541
92874,97557
92874,457750
92874,528087
92874,524232
92874,188235
92874,145272
92874,546225
92874,206649
92874,206941
92874,38458
92874,39099
92874,39736
92874,41294
92874,233332
92874,235073
92874,74354
92874,407842
92874,38462
93027,244047
93027,537403
93027,537406
93027,537407
93027,537408
93027,537409
93027,1058468
93027,2175
93027,537414
93027,801
93027,262837
93027,493449
93027,389870
93027,542056
93116,192086
93116,48792
93116,217899
93116,103974
93116,105819
93116,565639
93172,444303
93172,157280
93172,242434
93172,177138
93172,504505
93275,87055
93275,456765
93275,506929
93275,118003
93275,103599
93432,95174
93432,88752
93432,54525
93432,425711
93432,444344
93432,10128
93432,23722
93484,1075287
93484,1060793
93484,1065712
93484,1075288
93484,1075286
93486,249415
93486,103908
93486,581072
93487,67758
93487,51481
93487,97795
93487,243770
93487,467425
93487,157371
93487,161081
93487,177264
93487,152605
93487,153677
93487,232761
93487,135181
93487,136023
93487,348606
93487,550116
93528,66524
93528,56907
93528,490314
93528,491565
93528,491566
93528,492735
93528,525078
93528,551861
93590,424861
93590,203500
93590,409006
93601,72344
93601,90502
93601,439728
93601,240212
93601,1049481
93601,44004
93601,315224
93601,61520
95052,404645
95355,447504
95355,161327
95355,170684
95355,183309
95355,45155
95355,217223
95355,209878
95355,11108
95355,117592
95355,1039601
95355,1040089
95355,1073377
95448,95578
95448,442519
95448,265259
95448,502256
95448,547222
95448,547223
95448,118535
95448,212028
95448,1052789
95448,66377
95837,143142
96155,259757
96335,61921
96470,247811
96470,128056
96470,6327
96470,11257
97019,67204
97019,97754
97019,155223
97019,133022
97019,18980
97019,221646
97019,1087863
97463,64518
97463,97145
97463,99905
97463,458466
97463,447522
97463,447524
97463,521549
97463,497707
97463,107041
97463,46639
97463,46880
97463,420829
97463,115631
97463,216138
97463,472986
97463,1007750
97463,549345
81793,61267
81793,518299
81793,445768
81793,188413
81793,142137
82005,62571
82005,93222
82005,250372
82005,396384
82005,442681
82005,519757
82005,522134
82005,159082
82005,194933
82005,187571
82005,535393
82005,414121
82005,227895
82005,47701
82005,47743
82005,227664
82005,3333
82005,11809
