source,target
40492,532096
40492,532098
40493,40486
40493,531267
40493,531268
40493,40451
40493,531265
40493,531266
40494,40455
40494,40458
40494,478831
21582,427676
1065373,1062145
1065373,1062147
1065373,1062149
1065371,1062146
1065371,1062148
1065371,1065303
1065371,1062145
1065374,1062150
1065374,1062140
1065374,1062137
1065374,1062151
1065374,1062144
1065374,1062152
1065370,1065304
1065370,1062141
1065372,1062143
1065372,1062142
40023,40016
40023,40018
40023,40020
40025,40014
40025,40017
40025,413150
40025,574371
456004,40015
456004,186210
456004,574370
40009,40005
40009,40006
40009,40008
40010,40004
40010,40007
40010,40003
40012,187074
456086,455697
1043334,1043336
1043334,1043338
1043334,1043339
1043334,1043337
1043334,1043335
1081086,472167
28519,477344
28519,477909
28519,456651
28519,456652
28519,456657
28519,456704
28519,456709
28519,456714
28519,457003
28519,528983
28519,28460
28519,456656
456741,456858
456741,456859
456741,29518
59772,554076
150180,434424
150180,261630
150180,457004
150180,165205
529263,492279
529263,482833
529263,575556
222633,40132
222633,40135
222633,447359
241319,40197
241319,40207
241319,184143
241319,40201
1071779,1071830
1071779,1071828
1071779,1071829
1071779,1071825
1071779,1071824
1071779,1071826
528161,577943
528161,231395
528161,459849
528161,91568
528161,560488
528161,40138
528161,40137
528161,40119
528161,560489
528161,441099
528160,1071256
528160,56955
528160,40202
1051131,1051133
1051131,1051135
1051131,1051134
1051131,1051132
1051136,1051137
1051136,1051139
1051136,1051138
491232,1003580
491232,553761
491232,491278
491232,491299
491232,525244
491231,1003571
491231,491693
491231,491655
491231,491479
491231,1003581
491231,491653
491231,543358
491177,1003569
491177,491181
491177,525242
491177,491312
491177,491313
491183,1003576
491183,1071247
491183,491187
491230,1003575
491230,491414
491230,491419
491230,491438
491230,1003577
491230,560015
491188,1003579
491188,1003568
491188,491210
491188,491212
491188,491215
491188,491189
491188,491207
491188,491208
490900,1084529
490900,490914
490900,490909
490900,491076
490900,525247
490900,1084528
490900,1003572
